what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1461697004032
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1461697004032
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1461697004033
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1461697004033
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1461697004033
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1461697004034
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1461697004034
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1461697004034
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1461697004035
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1461697004035
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1461697004036
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1461697004036
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1461697004036
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1461697004037
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1461697004038
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1461697004038
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1461697004039
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1461697004039
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1461697004039
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1461697004040
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1461697004040
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1461697004040
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1461697004041
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1461697004041
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1461697004041
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1461697004042
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1461697004042
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1461697004043
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1461697004043
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1461697004043
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1461697004043
os,sysinfo,,,"win32",1461697004046
arch,sysinfo,,,"x86_64",1461697004046
ws,sysinfo,,,"win32",1461697004046
locale,sysinfo,,,"de_DE",1461697004046
processors,sysinfo,,,"4",1461697004046
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1461697004046
java.runtime.version,sysinfo,,,"1.8.0_20-b26",1461697004046
java.specification.name,sysinfo,,,"Java Platform API Specification",1461697004046
java.specification.vendor,sysinfo,,,"Oracle Corporation",1461697004046
java.specification.version,sysinfo,,,"1.8",1461697004046
java.vendor,sysinfo,,,"Oracle Corporation",1461697004046
java.version,sysinfo,,,"1.8.0_20",1461697004046
java.vm.info,sysinfo,,,"mixed mode",1461697004046
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1461697004046
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1461697004046
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1461697004046
java.vm.specification.version,sysinfo,,,"1.8",1461697004046
java.vm.vendor,sysinfo,,,"Oracle Corporation",1461697004046
java.vm.version,sysinfo,,,"25.20-b23",1461697004046
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1461697004049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697005762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697052102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697054900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697088766
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1461697090230
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1461697090398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697090505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697094078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697098276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697107916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1461697107929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697109000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697160866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697165832
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1461697170318
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1461697170344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697170425
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1461697170675
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1461697170863
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1461697174787
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1461697174787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697178147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697211932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697214073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697285272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697287665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697368680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1461697368711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697370269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697389995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697391142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697392102
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461697392222
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1461697392485
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1461697392708
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1461697392741
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1461697392742
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1461697392744
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1461697392745
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1461697392745
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1461697392765
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1461697392765
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1461697392766
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1461697392767
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1461697392914
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1461697392914
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1461697392915
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1461697392915
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1461697392915
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1461697392915
